"11",NA,"256",NA,NA,"미개봉","0","0","980000원","아이패드프로 3세대 11인치 256GB 미개봉","https://cafe.naver.com/joonggonara/594054699"
"11","wifi","64","스페이스 그레이|",NA,"미개봉","0","0","810000원","[미개봉] 아이패드프로3세대 11인치 64g wifi 스페이스그레이(3대) 팝니다(81만원)","https://cafe.naver.com/joonggonara/594052968"
NA,NA,"256","스페이스 그레이|",NA,"미개봉","0","0","1400000원","[ 미개봉 선택약정가능 ] 아이패드프로 3세대 256기가 스그 팝니다","https://cafe.naver.com/joonggonara/594050714"
NA,NA,"256","스페이스 그레이|",NA,"미개봉","0","0","1400000원","[ 미개봉 선택약정가능 ] 아이패드프로 3세대 256기가 스그 팝니다","https://cafe.naver.com/joonggonara/594050543"
"12.9","WIFI","512",NA,NA,"미개봉","0","0","1510000원","아이패드 프로3세대 12.9 512기가 블랙 대용량 WIFI 미개봉 새상품 판매","https://cafe.naver.com/joonggonara/594033979"
"11","cellular","256","실버|",NA,"미개봉","0","0","1200000원","[미개봉/안전거래 가능] 아이패드 프로 3세대 11인치 셀룰러 256GB 실버 판매 합니다.","https://cafe.naver.com/joonggonara/594032150"
"11","wifi","256","스페이스 그레이|",NA,"미개봉","0","0","1010000원","아이패드프로3세대11인치 미개봉 256g wifi 스페이스그레이 팝니다","https://cafe.naver.com/joonggonara/594032053"
"11","WIFI","64",NA,NA,NA,"0","0","840000원","아이패드 프로 3세대 11인치 WIFI 64 판매합니다.","https://cafe.naver.com/joonggonara/594031888"
"12.9","LTE","512",NA,NA,NA,"0","0","1650000원","아이패드 프로 3세대 12.9인치 512기가 LTE 모델 판매 (광주)","https://cafe.naver.com/joonggonara/594026989"
"11","WIFI","64","스페이스 그레이|",NA,"미개봉","0","0","8500원","미개봉 애플코리아 아이패드프로 3세대 11형 64GB WIFI 스페이스그레이 판매합니다","https://cafe.naver.com/joonggonara/594025434"
"11","cellular","1024","실버|",NA,NA,"0","0","1700000원","아이패드프로 3세대 11인치 실버 1테라 셀룰러 버전 판매합니다. (25% 선택약정 할인 가능)","https://cafe.naver.com/joonggonara/594024077"
"12.9","wifi","64","실버|",NA,"미개봉","0","0","1030000원","아이패드프로 3세대 12.9 와이파이 64기가 실버 미개봉 팝니다.","https://cafe.naver.com/joonggonara/594019691"
"12.9","WiFi","64","스페이스 그레이|",NA,"미개봉","0","0","1100000원",":: 급처합니다 :: 아이패드 프로 3세대(A1895) 12.9인치 64GB 스페이스그레이 미개봉 신품 WiFi+Cellular 팝니다.","https://cafe.naver.com/joonggonara/594014660"
"11","wifi","-1",NA,NA,"미개봉","0","0","850000원","부산 아이패드 프로11 3세대 미개봉 wifi 64기가 256기가 애플코리아 정품 팝니다","https://cafe.naver.com/joonggonara/594010907"
"11","wifi","64","스페이스 그레이|",NA,"미개봉","0","0","850000원","아이패드 프로 3세대 11 64G wifi 스페이스그레이 미개봉 팝니다","https://cafe.naver.com/joonggonara/594010623"
